Player-additional,Player,Age,Team,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,ERA+,WAR,K%,BB%,K/BB,K9
taillja01,Jameson Taillon,32.0,CHC,NL,12.0,8.0,0.6,3.27,28.0,28.0,0.0,0.0,0.0,0.0,165.1,154.0,67.0,60.0,21.0,33.0,0.0,125.0,1.0,2.0,4.0,675.0,3.839,1.133,8.395,1.145,1.799,6.8,3.79,122.0,2.2,0.185,0.049,3.788,6.814
tatedi01,Dillon Tate,30.0,BAL,AL,2.0,1.0,0.667,4.66,33.0,0.0,10.0,0.0,0.0,1.0,36.2,42.0,21.0,19.0,2.0,12.0,0.0,27.0,4.0,0.0,0.0,164.0,3.321,1.492,10.442,0.497,2.983,6.6,2.25,83.0,-0.3,0.165,0.073,2.25,6.713
taylotr01,Troy Taylor,22.0,SEA,AL,0.0,0.0,,3.72,21.0,0.0,8.0,0.0,0.0,1.0,19.1,15.0,8.0,8.0,4.0,7.0,0.0,25.0,0.0,0.0,2.0,81.0,4.304,1.152,7.068,1.885,3.298,11.6,3.57,100.0,0.1,0.309,0.086,3.571,11.78
tengka01,Kai-Wei Teng,25.0,SFG,NL,0.0,0.0,,9.82,4.0,0.0,0.0,0.0,0.0,0.0,11.0,15.0,12.0,12.0,2.0,8.0,0.0,7.0,1.0,0.0,1.0,55.0,6.373,2.091,12.273,1.636,6.545,5.7,0.88,41.0,-0.3,0.127,0.145,0.875,5.727
thielca01,Caleb Thielbar*,37.0,MIN,AL,2.0,4.0,0.333,5.32,59.0,0.0,18.0,0.0,0.0,3.0,47.1,50.0,33.0,28.0,6.0,24.0,2.0,53.0,0.0,0.0,2.0,216.0,4.034,1.571,9.554,1.146,4.586,10.1,2.21,78.0,-0.6,0.245,0.111,2.208,10.127
thompke02,Keegan Thompson,29.0,CHC,NL,2.0,1.0,0.667,2.67,24.0,0.0,9.0,0.0,0.0,2.0,30.1,19.0,12.0,9.0,3.0,18.0,0.0,36.0,0.0,0.0,0.0,127.0,3.798,1.229,5.681,0.897,5.382,10.7,2.0,151.0,0.6,0.283,0.142,2.0,10.764
thompry02,Ryan Thompson,32.0,ARI,NL,7.0,5.0,0.583,3.26,67.0,0.0,4.0,0.0,0.0,2.0,66.1,64.0,26.0,24.0,5.0,15.0,2.0,52.0,1.0,0.0,2.0,272.0,3.191,1.195,8.714,0.681,2.042,7.1,3.47,129.0,1.0,0.191,0.055,3.467,7.08
thompza02,Zack Thompson*,26.0,STL,NL,0.0,2.0,0.0,9.53,5.0,2.0,0.0,0.0,0.0,0.0,17.0,24.0,18.0,18.0,6.0,8.0,0.0,20.0,1.0,0.0,0.0,83.0,6.747,1.882,12.706,3.176,4.235,10.6,2.5,45.0,-0.6,0.241,0.096,2.5,10.588
thorntr01,Trent Thornton,30.0,SEA,AL,4.0,3.0,0.571,3.61,71.0,0.0,16.0,0.0,0.0,1.0,72.1,63.0,32.0,29.0,8.0,19.0,1.0,77.0,5.0,0.0,4.0,294.0,3.197,1.137,7.864,0.999,2.372,9.6,4.05,102.0,0.3,0.262,0.065,4.053,9.612
thorpdr01,Drew Thorpe,23.0,CHW,AL,3.0,3.0,0.5,5.48,9.0,9.0,0.0,0.0,0.0,0.0,44.1,35.0,29.0,27.0,8.0,21.0,0.0,25.0,1.0,1.0,0.0,190.0,5.753,1.27,7.143,1.633,4.286,5.1,1.19,75.0,0.0,0.132,0.111,1.19,5.102
tinocje01,Jesús Tinoco,29.0,MIA/TEX,2LG,2.0,0.0,1.0,2.651,55.0,0.0,19.0,0.0,0.0,6.0,70.4,43.0,21.0,21.0,4.0,17.0,2.0,75.0,4.0,0.0,1.0,274.0,2.432,0.852,5.497,0.511,2.173,9.472,4.83,195.5,2.5,0.274,0.062,4.412,9.588
tonkimi01,Michael Tonkin,34.0,MIN/NYM/NYY,2LG,7.0,6.0,0.55,3.558,109.0,0.0,42.0,0.0,0.0,4.0,151.2,132.0,76.0,60.0,11.0,58.0,2.0,164.0,13.0,2.0,7.0,645.0,3.027,1.257,7.857,0.655,3.452,9.695,2.825,116.5,0.6,0.254,0.09,2.828,9.762
toussto01,Touki Toussaint,28.0,CHW,AL,1.0,2.0,0.333,7.43,11.0,0.0,2.0,0.0,0.0,0.0,23.0,35.0,19.0,19.0,3.0,18.0,0.0,26.0,1.0,0.0,1.0,117.0,4.883,2.304,13.696,1.174,7.043,10.2,1.44,56.0,-0.3,0.222,0.154,1.444,10.174
treinbl01,Blake Treinen,36.0,LAD,NL,7.0,3.0,0.7,1.93,50.0,0.0,6.0,0.0,0.0,1.0,46.2,33.0,11.0,10.0,5.0,11.0,0.0,56.0,2.0,0.0,1.0,184.0,2.797,0.952,6.429,0.974,2.143,10.8,5.09,201.0,1.4,0.304,0.06,5.091,10.909
turnbsp01,Spencer Turnbull,31.0,PHI,NL,3.0,0.0,1.0,2.65,17.0,7.0,4.0,0.0,0.0,0.0,54.1,37.0,17.0,16.0,6.0,20.0,0.0,58.0,5.0,0.0,2.0,222.0,3.507,1.054,6.155,0.998,3.327,9.6,2.9,154.0,1.2,0.261,0.09,2.9,9.649
tylerky01,Kyle Tyler,27.0,MIA,NL,0.0,2.0,0.0,5.4,8.0,7.0,0.0,0.0,0.0,0.0,31.2,37.0,19.0,19.0,4.0,18.0,0.0,25.0,1.0,0.0,1.0,142.0,4.895,1.763,10.673,1.154,5.192,7.1,1.39,84.0,0.3,0.176,0.127,1.389,7.212
ucetaed01,Edwin Uceta,26.0,TBR,AL,2.0,0.0,1.0,1.51,30.0,0.0,10.0,0.0,0.0,5.0,41.2,26.0,8.0,7.0,2.0,8.0,0.0,57.0,1.0,0.0,0.0,159.0,1.547,0.825,5.68,0.437,1.748,12.3,7.13,266.0,1.9,0.358,0.05,7.125,12.451
urenajo01,José Ureña,32.0,TEX,AL,5.0,8.0,0.385,3.8,33.0,9.0,8.0,0.0,0.0,1.0,109.0,105.0,51.0,46.0,13.0,39.0,2.0,70.0,4.0,0.0,3.0,463.0,4.439,1.321,8.67,1.073,3.22,5.8,1.79,104.0,0.6,0.151,0.084,1.795,5.78
uribeab01,Abner Uribe,24.0,MIL,NL,2.0,2.0,0.5,6.91,14.0,0.0,6.0,0.0,0.0,3.0,14.1,15.0,11.0,11.0,1.0,12.0,2.0,14.0,0.0,0.0,3.0,66.0,4.589,1.915,9.574,0.638,7.66,8.8,1.17,62.0,-0.4,0.212,0.182,1.167,8.936
valdefr01,Framber Valdez*,30.0,HOU,AL,15.0,7.0,0.682,2.91,28.0,28.0,0.0,1.0,0.0,0.0,176.1,140.0,60.0,57.0,13.0,55.0,0.0,169.0,6.0,1.0,8.0,703.0,3.077,1.107,7.155,0.664,2.811,8.6,3.07,136.0,4.5,0.24,0.078,3.073,8.637
varlagu01,Gus Varland,27.0,CHW/LAD,2LG,1.0,0.0,1.0,3.42,26.0,0.0,7.0,0.0,0.0,0.0,26.1,30.0,12.0,10.0,2.0,8.0,1.0,27.0,1.0,0.0,2.0,115.0,2.947,1.456,10.345,0.69,2.759,9.2,3.38,122.0,0.4,0.235,0.07,3.375,9.31
varlalo01,Louie Varland,26.0,MIN,AL,0.0,6.0,0.0,7.61,16.0,7.0,1.0,0.0,0.0,0.0,49.2,68.0,44.0,42.0,12.0,16.0,1.0,49.0,4.0,0.0,0.0,238.0,5.254,1.707,12.439,2.195,2.927,8.9,3.06,55.0,-1.4,0.206,0.067,3.062,8.963
vasqura02,Randy Vásquez,25.0,SDP,NL,4.0,7.0,0.364,4.87,20.0,20.0,0.0,0.0,0.0,0.0,98.0,119.0,56.0,53.0,13.0,29.0,1.0,62.0,6.0,2.0,5.0,431.0,4.447,1.51,10.929,1.194,2.663,5.7,2.14,84.0,0.4,0.144,0.067,2.138,5.694
