Player-additional,Player,Age,Team,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB
myersto01,Tobias Myers,25.0,MIL,NL,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,18.0,1.77,0.4,3.6,0.0,0.0,9.0,0.0
nolaaa01,Aaron Nola,31.0,PHI,NL,0.0,1.0,0.0,7.2,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,4.0,2.0,2.0,0.0,8.0,0.0,0.0,0.0,22.0,6.37,1.4,9.0,3.6,3.6,14.4,4.0
olsonre01,Reese Olson,24.0,DET,AL,0.0,0.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,8.0,2.0,2.0,1.0,2.0,0.0,8.0,1.0,0.0,0.0,38.0,3.83,1.111,8.0,1.0,2.0,8.0,4.0
peralfr01,Freddy Peralta,28.0,MIL,NL,0.0,0.0,,5.4,2.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,18.0,1.77,0.6,3.6,0.0,1.8,9.0,5.0
peterda01,David Peterson*,28.0,NYM,NL,1.0,0.0,1.0,2.92,5.0,1.0,1.0,0.0,0.0,1.0,12.1,14.0,5.0,4.0,1.0,8.0,0.0,8.0,0.0,0.0,1.0,57.0,4.87,1.784,10.2,0.7,5.8,5.8,1.0
phillev01,Evan Phillips,29.0,LAD,NL,2.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.2,3.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,26.0,2.72,0.9,4.1,0.0,4.1,8.1,2.0
quintjo01,Jose Quintana*,35.0,NYM,NL,0.0,1.0,0.0,3.14,3.0,3.0,0.0,0.0,0.0,0.0,14.1,11.0,6.0,5.0,1.0,7.0,0.0,13.0,1.0,0.0,0.0,63.0,3.93,1.256,6.9,0.6,4.4,8.2,1.86
raganco01,Cole Ragans*,26.0,KCR,AL,1.0,0.0,1.0,0.9,2.0,2.0,0.0,0.0,0.0,0.0,10.0,7.0,1.0,1.0,0.0,4.0,0.0,13.0,0.0,0.0,0.0,41.0,1.77,1.1,6.3,0.0,3.6,11.7,3.25
rodonca01,Carlos Rodón*,31.0,NYY,ALWS,1.0,2.0,0.333,5.6,4.0,4.0,0.0,0.0,0.0,0.0,17.2,21.0,11.0,11.0,5.0,1.0,0.0,25.0,0.0,0.0,1.0,75.0,1.72,1.245,10.7,2.5,0.5,12.7,25.0
sabroer01,Erik Sabrowski*,26.0,CLE,AL,0.0,0.0,,1.69,5.0,0.0,0.0,0.0,0.0,0.0,5.1,4.0,2.0,1.0,1.0,3.0,0.0,8.0,0.0,0.0,0.0,23.0,4.29,1.313,6.8,1.7,5.1,13.5,2.67
sanchcr01,Cristopher Sánchez*,27.0,PHI,NL,0.0,0.0,,3.6,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,2.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,21.0,4.37,1.2,9.0,1.8,1.8,9.0,5.0
schmicl01,Clarke Schmidt,28.0,NYY,ALWS,0.0,1.0,0.0,5.25,3.0,3.0,0.0,0.0,0.0,0.0,12.0,11.0,7.0,7.0,2.0,7.0,0.0,9.0,1.0,0.0,0.0,54.0,3.55,1.5,8.3,1.5,5.3,6.8,1.29
sengako01,Kodai Senga,31.0,NYM,NL,0.0,1.0,0.0,12.6,3.0,2.0,0.0,0.0,0.0,0.0,5.0,6.0,7.0,7.0,1.0,7.0,0.0,4.0,1.0,0.0,1.0,29.0,8.97,2.6,10.8,1.8,12.6,7.2,0.57
severlu01,Luis Severino,30.0,NYM,NL,1.0,1.0,0.5,3.24,3.0,3.0,0.0,0.0,0.0,0.0,16.2,17.0,9.0,6.0,2.0,6.0,0.0,13.0,1.0,0.0,0.0,73.0,4.43,1.38,9.2,1.1,3.2,7.0,2.17
skubata01,Tarik Skubal*,27.0,DET,AL,1.0,1.0,0.5,2.37,3.0,3.0,0.0,0.0,0.0,0.0,19.0,13.0,5.0,5.0,1.0,2.0,1.0,20.0,2.0,0.0,0.0,73.0,2.38,0.789,6.2,0.5,0.9,9.5,10.0
smithca06,Cade Smith,25.0,CLE,AL,1.0,0.0,1.0,3.6,9.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,4.0,4.0,1.0,2.0,0.0,16.0,0.0,0.0,0.0,37.0,1.87,0.7,4.5,0.9,1.8,14.4,8.0
stanery01,Ryne Stanek,32.0,NYM,NL,1.0,0.0,1.0,3.38,7.0,0.0,3.0,0.0,0.0,0.0,8.0,5.0,3.0,3.0,1.0,3.0,0.0,8.0,0.0,0.0,0.0,33.0,3.92,1.0,5.6,1.1,3.4,9.0,2.67
treinbl01,Blake Treinen,36.0,LAD,NLWS,2.0,0.0,1.0,2.19,9.0,0.0,4.0,0.0,0.0,3.0,12.1,12.0,3.0,3.0,0.0,4.0,1.0,18.0,1.0,0.0,1.0,54.0,0.76,1.297,8.8,0.0,2.9,13.1,4.5
vesiaal01,Alex Vesia*,28.0,LAD,NLWS,0.0,0.0,,0.0,7.0,0.0,1.0,0.0,0.0,1.0,5.2,2.0,0.0,0.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,22.0,0.79,0.706,3.2,0.0,3.2,9.5,3.0
vestwi01,Will Vest,29.0,DET,AL,1.0,0.0,1.0,1.5,6.0,0.0,2.0,0.0,0.0,1.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,22.0,0.17,0.5,4.5,0.0,0.0,13.5,0.0
wachami01,Michael Wacha,32.0,KCR,AL,0.0,1.0,0.0,5.19,2.0,2.0,0.0,0.0,0.0,0.0,8.2,10.0,5.0,5.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,38.0,4.9,1.615,10.4,1.0,4.2,5.2,1.25
weavelu01,Luke Weaver,30.0,NYY,ALWS,1.0,0.0,1.0,1.76,12.0,0.0,8.0,0.0,0.0,4.0,15.1,8.0,3.0,3.0,2.0,2.0,0.0,16.0,1.0,1.0,0.0,56.0,2.46,0.652,4.7,1.2,1.2,9.4,8.0
wheelza01,Zack Wheeler,34.0,PHI,NL,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,4.0,0.0,9.0,1.0,0.0,0.0,26.0,2.74,0.714,1.3,0.0,5.1,11.6,2.25
yamamyo01,Yoshinobu Yamamoto,25.0,LAD,NLWS,2.0,0.0,1.0,3.86,4.0,4.0,0.0,0.0,0.0,0.0,18.2,12.0,8.0,8.0,3.0,6.0,0.0,15.0,1.0,0.0,1.0,74.0,3.11,0.964,5.8,1.4,2.9,7.2,2.5
