Player-additional,Player,Age,Team,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BA,OBP,SLG,OPS,SB%,ISO,BABIP,BB%,SO%,BB/SO,HR/SB,XBH%,RBI Rate,R Rate,Cluster,Hitter_Type,Speed_Tier
sheetga01,Gavin Sheets,28.0,CHW,AL,139.0,501.0,451.0,35.0,105.0,24.0,1.0,10.0,45.0,2.0,2.0,43.0,106.0,161.0,6.0,4.0,0.0,3.0,2.0,0.233,0.303,0.357,0.66,0.5,0.124,0.281,0.086,0.212,0.406,5.0,0.333,0.09,0.07,1,Power Hitter,Moderate Speed
shentau01,Austin Shenton,26.0,TBR,AL,19.0,50.0,42.0,3.0,9.0,5.0,0.0,1.0,3.0,0.0,0.0,8.0,14.0,17.0,1.0,0.0,0.0,0.0,0.0,0.214,0.34,0.405,0.745,0.0,0.191,0.296,0.16,0.28,0.571,0.0,0.667,0.06,0.06,2,Balanced Hitter,Low Speed
shewmbr01,Braden Shewmake,26.0,CHW,AL,29.0,67.0,64.0,4.0,8.0,2.0,0.0,1.0,4.0,5.0,1.0,1.0,10.0,13.0,0.0,0.0,0.0,2.0,0.0,0.125,0.134,0.203,0.337,0.833,0.078,0.127,0.015,0.149,0.1,0.2,0.375,0.06,0.06,0,Contact Hitter,Moderate Speed
shortza01,Zack Short,29.0,ATL,2LG,82.0,169.0,133.0,22.0,18.0,6.0,0.0,0.0,10.0,4.0,2.0,28.0,44.0,24.0,0.0,2.0,6.0,0.0,0.0,0.136,0.294,0.18,0.475,0.667,0.044,0.202,0.166,0.26,0.636,0.0,0.333,0.059,0.13,0,Contact Hitter,Moderate Speed
sianimi01,Michael Siani,24.0,STL,NL,124.0,334.0,298.0,42.0,68.0,7.0,2.0,2.0,20.0,20.0,3.0,21.0,92.0,85.0,2.0,3.0,11.0,1.0,0.0,0.228,0.285,0.285,0.57,0.87,0.057,0.322,0.063,0.275,0.228,0.1,0.162,0.06,0.126,0,Contact Hitter,High Speed
singljo02,Jon Singleton,32.0,HOU,AL,119.0,405.0,355.0,46.0,83.0,13.0,1.0,13.0,42.0,0.0,0.0,47.0,111.0,137.0,2.0,0.0,0.0,3.0,0.0,0.234,0.321,0.386,0.707,0.0,0.152,0.299,0.116,0.274,0.423,0.0,0.325,0.104,0.114,1,Power Hitter,Low Speed
sirijo01,Jose Siri,28.0,TBR,AL,130.0,448.0,402.0,50.0,75.0,16.0,1.0,18.0,47.0,14.0,7.0,31.0,170.0,147.0,5.0,7.0,2.0,4.0,0.0,0.187,0.255,0.366,0.62,0.667,0.179,0.261,0.069,0.379,0.182,1.286,0.467,0.105,0.112,0,Contact Hitter,Moderate Speed
slateau01,Austin Slater,31.0,BAL/SFG,2LG,135.0,345.0,285.0,38.0,57.0,5.0,0.0,3.0,30.0,5.0,3.0,44.0,97.0,71.0,8.0,8.0,0.0,8.0,0.0,0.2,0.316,0.249,0.564,0.625,0.049,0.28,0.128,0.281,0.454,0.6,0.14,0.087,0.11,1,Power Hitter,Moderate Speed
smithdo02,Dominic Smith,29.0,BOS,2LG,93.0,307.0,275.0,33.0,64.0,22.0,0.0,6.0,34.0,1.0,1.0,28.0,76.0,104.0,7.0,4.0,0.0,0.0,0.0,0.233,0.313,0.378,0.691,0.5,0.145,0.301,0.091,0.248,0.368,6.0,0.438,0.111,0.107,2,Balanced Hitter,Moderate Speed
smithjo11,Josh Smith,26.0,TEX,AL,149.0,592.0,523.0,67.0,135.0,30.0,1.0,13.0,62.0,11.0,2.0,46.0,121.0,206.0,6.0,18.0,2.0,3.0,1.0,0.258,0.337,0.394,0.731,0.846,0.136,0.311,0.078,0.204,0.38,1.182,0.326,0.105,0.113,1,Power Hitter,Moderate Speed
smithpa04,Pavin Smith,28.0,ARI,NL,60.0,158.0,137.0,26.0,37.0,11.0,0.0,9.0,36.0,1.0,0.0,18.0,31.0,75.0,4.0,0.0,0.0,3.0,0.0,0.27,0.348,0.547,0.896,1.0,0.277,0.28,0.114,0.196,0.581,9.0,0.541,0.228,0.165,2,Balanced Hitter,Low Speed
smithwi05,Will Smith,29.0,LAD,NL,128.0,544.0,476.0,77.0,118.0,24.0,2.0,20.0,75.0,1.0,1.0,51.0,105.0,206.0,8.0,9.0,0.0,8.0,6.0,0.248,0.327,0.433,0.76,0.5,0.185,0.273,0.094,0.193,0.486,20.0,0.39,0.138,0.142,2,Balanced Hitter,Moderate Speed
soderty01,Tyler Soderstrom,22.0,OAK,AL,61.0,213.0,189.0,18.0,44.0,10.0,0.0,9.0,26.0,0.0,0.0,20.0,53.0,81.0,7.0,3.0,0.0,1.0,1.0,0.233,0.315,0.429,0.743,0.0,0.196,0.273,0.094,0.249,0.377,0.0,0.432,0.122,0.085,2,Balanced Hitter,Low Speed
sogarni01,Nick Sogard,26.0,BOS,AL,31.0,86.0,77.0,13.0,21.0,4.0,0.0,0.0,8.0,3.0,0.0,7.0,25.0,25.0,4.0,0.0,0.0,2.0,0.0,0.273,0.326,0.325,0.65,1.0,0.052,0.389,0.081,0.291,0.28,0.0,0.19,0.093,0.151,1,Power Hitter,Low Speed
solando01,Donovan Solano,36.0,SDP,NL,96.0,309.0,283.0,31.0,81.0,13.0,0.0,8.0,35.0,2.0,1.0,22.0,65.0,118.0,6.0,3.0,0.0,1.0,0.0,0.286,0.343,0.417,0.76,0.667,0.131,0.346,0.071,0.21,0.338,4.0,0.259,0.113,0.1,1,Power Hitter,Moderate Speed
solerjo01,Jorge Soler,32.0,ATL/SFG,NL,142.0,574.0,493.0,84.0,119.0,34.0,1.0,21.0,64.0,1.0,0.0,68.0,141.0,218.0,9.0,6.0,0.0,4.0,0.0,0.241,0.338,0.442,0.78,1.0,0.201,0.293,0.118,0.246,0.482,21.0,0.471,0.111,0.146,2,Balanced Hitter,Low Speed
sosaed01,Edmundo Sosa,28.0,PHI,NL,90.0,274.0,249.0,39.0,64.0,12.0,4.0,7.0,31.0,7.0,1.0,13.0,66.0,105.0,5.0,8.0,1.0,2.0,0.0,0.257,0.313,0.422,0.734,0.875,0.165,0.32,0.047,0.241,0.197,1.0,0.359,0.113,0.142,2,Balanced Hitter,Moderate Speed
sosale01,Lenyn Sosa,24.0,CHW,AL,100.0,369.0,351.0,28.0,89.0,13.0,0.0,8.0,35.0,3.0,1.0,12.0,77.0,126.0,5.0,3.0,2.0,1.0,1.0,0.254,0.283,0.359,0.642,0.75,0.105,0.303,0.033,0.209,0.156,2.667,0.236,0.095,0.076,0,Contact Hitter,Moderate Speed
sotoju01,Juan Soto,25.0,NYY,AL,157.0,713.0,576.0,128.0,166.0,31.0,4.0,41.0,109.0,7.0,4.0,129.0,119.0,328.0,10.0,4.0,0.0,4.0,2.0,0.288,0.419,0.569,0.989,0.636,0.281,0.298,0.181,0.167,1.084,5.857,0.458,0.153,0.18,1,Power Hitter,Moderate Speed
