Player-additional,Player,Age,Team,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BA,OBP,SLG,OPS
mccutan01,Andrew McCutchen,37.0,PIT,NL,120.0,515.0,448.0,66.0,104.0,18.0,1.0,20.0,50.0,3.0,2.0,58.0,133.0,184.0,9.0,7.0,0.0,2.0,1.0,0.232,0.328,0.411,0.739
mcguire01,Reese McGuire*,29.0,BOS,AL,53.0,158.0,139.0,10.0,29.0,3.0,0.0,3.0,18.0,3.0,0.0,13.0,39.0,41.0,4.0,2.0,1.0,3.0,0.0,0.209,0.28,0.295,0.575
mckinza01,Zach McKinstry*,29.0,DET,AL,118.0,325.0,297.0,32.0,64.0,14.0,5.0,4.0,23.0,16.0,0.0,24.0,69.0,100.0,3.0,2.0,0.0,2.0,0.0,0.215,0.277,0.337,0.614
mcmahry01,Ryan McMahon*,29.0,COL,NL,153.0,645.0,567.0,68.0,137.0,28.0,0.0,20.0,65.0,4.0,6.0,69.0,185.0,225.0,9.0,3.0,0.0,4.0,4.0,0.242,0.325,0.397,0.722
mcneije01,Jeff McNeil*,32.0,NYM,NL,129.0,472.0,424.0,57.0,101.0,26.0,0.0,12.0,44.0,5.0,1.0,35.0,68.0,163.0,6.0,9.0,1.0,3.0,1.0,0.238,0.308,0.384,0.692
meadcu01,Curtis Mead,23.0,TBR,AL,38.0,132.0,122.0,10.0,29.0,3.0,0.0,1.0,7.0,2.0,0.0,6.0,30.0,35.0,2.0,2.0,0.0,1.0,0.0,0.238,0.282,0.287,0.569
meadopa01,Parker Meadows*,24.0,DET,AL,82.0,298.0,270.0,39.0,66.0,12.0,6.0,9.0,28.0,9.0,4.0,25.0,76.0,117.0,0.0,1.0,1.0,1.0,0.0,0.244,0.31,0.433,0.743
melenmj01,MJ Melendez*,25.0,KCR,AL,135.0,451.0,412.0,44.0,85.0,23.0,3.0,17.0,44.0,4.0,4.0,35.0,113.0,165.0,3.0,3.0,0.0,0.0,1.0,0.206,0.273,0.4,0.674
mendida01,Danny Mendick,30.0,CHW,AL,47.0,141.0,132.0,13.0,26.0,7.0,0.0,3.0,8.0,6.0,0.0,6.0,35.0,42.0,3.0,2.0,1.0,0.0,0.0,0.197,0.243,0.318,0.561
menesjo01,Joey Meneses,32.0,WSN,NL,76.0,313.0,281.0,19.0,65.0,11.0,0.0,3.0,42.0,2.0,0.0,21.0,63.0,85.0,9.0,5.0,0.0,6.0,1.0,0.231,0.291,0.302,0.593
merrija01,Jackson Merrill*,21.0,SDP,NL,156.0,593.0,554.0,77.0,162.0,31.0,6.0,24.0,90.0,16.0,3.0,29.0,101.0,277.0,2.0,1.0,4.0,5.0,1.0,0.292,0.326,0.5,0.826
merriwh01,Whit Merrifield,35.0,ATL/PHI,NL,95.0,335.0,293.0,44.0,65.0,9.0,3.0,4.0,15.0,17.0,3.0,35.0,52.0,92.0,7.0,3.0,4.0,0.0,0.0,0.222,0.311,0.314,0.625
meyerja02,Jake Meyers,28.0,HOU,AL,148.0,513.0,461.0,51.0,101.0,20.0,3.0,13.0,61.0,11.0,3.0,35.0,117.0,166.0,17.0,10.0,3.0,4.0,0.0,0.219,0.286,0.36,0.646
milladr01,Drew Millas#,26.0,WSN,NL,20.0,62.0,57.0,7.0,14.0,1.0,0.0,1.0,1.0,4.0,0.0,5.0,16.0,18.0,1.0,0.0,0.0,0.0,0.0,0.246,0.306,0.316,0.622
miranjo01,José Miranda,26.0,MIN,AL,121.0,429.0,401.0,44.0,114.0,28.0,4.0,9.0,49.0,2.0,2.0,18.0,66.0,177.0,13.0,6.0,0.0,4.0,1.0,0.284,0.322,0.441,0.763
mitchga01,Garrett Mitchell*,25.0,MIL,NL,69.0,224.0,196.0,33.0,50.0,12.0,3.0,8.0,21.0,11.0,4.0,25.0,71.0,92.0,1.0,1.0,2.0,0.0,0.0,0.255,0.342,0.469,0.812
monasan01,Andruw Monasterio,27.0,MIL,NL,59.0,142.0,125.0,14.0,26.0,5.0,0.0,1.0,16.0,6.0,2.0,16.0,40.0,34.0,3.0,1.0,0.0,0.0,0.0,0.208,0.303,0.272,0.575
moncayo01,Yoán Moncada#,29.0,CHW,AL,12.0,45.0,40.0,4.0,11.0,3.0,1.0,0.0,0.0,1.0,0.0,5.0,11.0,16.0,2.0,0.0,0.0,0.0,0.0,0.275,0.356,0.4,0.756
moniami01,Mickey Moniak*,26.0,LAA,AL,124.0,418.0,392.0,48.0,86.0,17.0,2.0,14.0,49.0,8.0,4.0,21.0,114.0,149.0,3.0,4.0,0.0,1.0,0.0,0.219,0.266,0.38,0.646
monteel01,Elehuris Montero,25.0,COL,NL,67.0,247.0,224.0,23.0,46.0,10.0,0.0,4.0,28.0,0.0,0.0,20.0,56.0,68.0,7.0,0.0,0.0,3.0,0.0,0.205,0.267,0.304,0.571
mooredy01,Dylan Moore,31.0,SEA,AL,135.0,441.0,368.0,53.0,74.0,23.0,4.0,10.0,42.0,32.0,6.0,53.0,123.0,135.0,8.0,14.0,1.0,5.0,1.0,0.201,0.32,0.367,0.687
morelch01,Christopher Morel,25.0,CHC/TBR,2LG,152.0,611.0,535.0,56.0,105.0,11.0,3.0,21.0,60.0,8.0,7.0,61.0,159.0,185.0,15.0,10.0,0.0,5.0,3.0,0.196,0.288,0.346,0.634
morenga01,Gabriel Moreno,24.0,ARI,NL,97.0,351.0,305.0,39.0,81.0,18.0,1.0,5.0,45.0,3.0,1.0,41.0,52.0,116.0,10.0,2.0,0.0,3.0,1.0,0.266,0.353,0.38,0.734
mountry01,Ryan Mountcastle,27.0,BAL,AL,124.0,507.0,473.0,54.0,128.0,30.0,2.0,13.0,63.0,3.0,0.0,27.0,114.0,201.0,13.0,1.0,0.0,6.0,0.0,0.271,0.308,0.425,0.733
mullice01,Cedric Mullins*,29.0,BAL,AL,147.0,499.0,444.0,69.0,104.0,16.0,3.0,18.0,54.0,32.0,6.0,41.0,98.0,180.0,1.0,5.0,2.0,2.0,0.0,0.234,0.305,0.405,0.71
