Rk,Player,Age,Team,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
122,Pierce Johnson,33,ATL,NL,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,3.17,0.000,0.0,0.0,0.0,0.0,,,johnspi01
123,Yuki Matsui*,28,SDP,NL,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,0,0,1,0,0,0,4,1.17,1.000,9.0,0.0,0.0,9.0,,,matsuyu01
124,Keegan Akin*,29,BAL,AL,0,0,,0.00,1,0,0,0,0,0,0.2,0,0,0,0,1,0,0,0,0,0,3,7.67,1.500,0.0,0.0,13.5,0.0,0.00,,akinke01
125,José Alvarado*,29,PHI,NL,0,0,,27.00,1,0,0,0,0,0,0.2,1,2,2,0,2,0,1,0,0,0,5,9.17,4.500,13.5,0.0,27.0,13.5,0.50,,alvarjo03
126,Danny Coulombe*,34,BAL,AL,0,0,,0.00,1,0,0,0,0,0,0.2,1,0,0,0,0,0,1,0,0,0,3,0.17,1.500,13.5,0.0,0.0,13.5,,,couloda01
127,Bryan King*,27,HOU,AL,0,0,,0.00,1,0,0,0,0,0,0.2,1,0,0,0,0,0,1,0,0,0,3,0.17,1.500,13.5,0.0,0.0,13.5,,,kingbr02
128,Jared Koenig*,30,MIL,NL,0,0,,0.00,1,0,0,0,0,0,0.2,1,0,0,0,0,0,0,0,0,0,3,3.17,1.500,13.5,0.0,0.0,0.0,,,koenija01
129,Ty Madden,24,DET,AL,0,0,,27.00,1,0,0,0,0,0,0.2,1,2,2,0,3,1,1,0,0,0,6,13.67,6.000,13.5,0.0,40.5,13.5,0.33,,maddety01
130,Héctor Neris,35,HOU,AL,0,0,,0.00,1,0,0,0,0,0,0.2,0,0,0,0,1,0,2,0,0,0,3,1.67,1.500,0.0,0.0,13.5,27.0,2.00,,nerishe01
131,Ryan Pressly,35,HOU,AL,0,1,.000,40.50,1,0,0,0,0,0,0.2,2,3,3,0,1,0,2,0,0,1,5,1.67,4.500,27.0,0.0,13.5,27.0,2.00,,pressry01
132,Gregory Soto*,29,BAL,AL,0,0,,0.00,1,0,0,0,0,0,0.2,0,0,0,0,1,0,1,0,0,0,3,4.67,1.500,0.0,0.0,13.5,13.5,1.00,,sotogr01
133,Jacob Webb,30,BAL,AL,0,0,,0.00,1,0,0,0,0,0,0.2,0,0,0,0,1,0,2,1,0,0,4,6.17,1.500,0.0,0.0,13.5,27.0,2.00,,webbja01
