Rk,Name,Age,Tm,Lg,G▼,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary,Name-additional
153,Tyler Freeman,25,CLE,AL,113,90,71,817.0,240,205,32,3,6,.988,1,2,3,4,3,2.61,1.96,OF-SS-2B-3B,freemty01
154,Connor Joe,31,PIT,NL,113,90,51,816.2,500,457,39,4,46,.992,-7,-10,4,5,0,5.47,3.88,1B-OF,joeco01
155,Kevin Kiermaier,34,TOT,ZZ,113,82,57,722.1,235,230,2,3,1,.987,4,6,10,16,-1,2.89,2.05,OF,kiermke01
156,Korey Lee,25,CHW,AL,113,93,88,838.1,861,824,33,4,4,.995,-2,-2,-10,-14,-3,9.20,7.58,C,leeko01
157,Manuel Margot,29,MIN,AL,113,68,38,688.1,166,163,0,3,0,.982,3,4,-3,-5,0,2.13,1.44,OF,margoma01
158,Corey Seager,30,TEX,AL,113,113,100,959.1,415,137,271,7,52,.983,7,9,4,5,-1,3.83,3.61,SS,seageco01
159,Tyrone Taylor,30,NYM,NL,113,75,51,754.1,199,193,3,3,0,.985,1,1,10,15,2,2.34,1.73,OF,tayloty01
160,Yainer Diaz,25,HOU,AL,112,110,106,982.0,1037,991,41,5,13,.995,0,0,-7,-9,1,9.46,9.13,C-1B,diazya02
161,Yandy Díaz,32,TBR,AL,112,110,95,956.1,838,784,45,9,67,.989,-3,-3,-5,-6,-1,7.80,7.40,1B,diazya01
162,Garrett Hampson,29,KCR,AL,112,59,28,567.1,191,148,40,3,11,.984,8,17,9,19,2,2.98,1.49,OF-2B-1B-SS-3B-P,hampsga01
163,Jorge Polanco,30,SEA,AL,112,109,92,925.1,367,138,222,7,45,.981,-5,-6,-1,-1,1,3.50,3.21,2B,polanjo01
164,Heliot Ramos,24,SFG,NL,112,110,99,973.2,230,225,4,1,0,.996,7,9,-9,-11,-2,2.12,2.04,OF,ramoshe02
165,Ben Rortvedt,26,TBR,AL,111,87,67,782.0,790,755,26,9,2,.989,0,0,-1,-2,1,8.99,6.97,C-P,rortvbe01
166,Jake Burger,28,MIA,NL,110,109,82,949.1,562,416,133,13,40,.977,-14,-18,-6,-8,0,5.20,4.29,3B-1B,burgeja01
167,Michael Harris II,23,ATL,NL,110,109,106,960.2,235,232,1,2,0,.991,5,6,11,13,1,2.18,2.12,OF,harrimi04
168,Austin Riley,27,ATL,NL,110,109,106,960.1,248,60,178,10,17,.960,-2,-2,0,0,0,2.23,2.18,3B,rileyau01
169,Mark Vientos,24,NYM,NL,110,105,78,905.1,264,79,180,5,16,.981,1,2,-5,-7,0,2.57,2.31,3B-1B,vientma01
170,Austin Wells,24,NYY,AL,110,96,85,872.1,936,892,33,11,5,.988,6,9,11,15,1,9.54,8.41,C,wellsau01
171,Nick Fortes,27,MIA,NL,109,99,79,864.0,878,831,38,9,3,.990,0,0,5,7,2,9.05,7.97,C,forteni01
172,Wyatt Langford,22,TEX,AL,109,109,81,927.2,218,208,8,2,1,.991,6,7,14,18,5,2.10,1.98,OF,langfwy01
173,Kevin Newman,30,ARI,NL,109,79,65,754.1,332,114,213,5,52,.985,3,4,10,15,2,3.90,2.82,SS-2B-1B-3B-OF,newmake01
174,Zach McKinstry,29,DET,AL,107,79,44,727.1,235,84,142,9,24,.962,3,5,1,1,0,2.80,1.67,SS-3B-OF-2B-P,mckinza01
175,Lars Nootbaar,26,STL,NL,107,98,69,863.0,214,209,2,3,2,.986,-3,-5,0,0,-1,2.20,1.97,OF,nootbla01
176,Cody Bellinger,28,CHC,NL,106,106,87,926.2,313,301,10,2,5,.994,-3,-4,0,0,2,3.02,2.68,OF-1B,bellico01
177,Michael Conforto,31,SFG,NL,106,95,84,835.0,159,152,5,2,1,.987,-6,-8,0,0,2,1.69,1.48,OF,confomi01
178,Nolan Gorman,24,STL,NL,106,97,93,874.1,400,147,243,10,68,.975,-6,-8,-4,-5,0,4.01,3.64,2B-3B,gormano01
179,Riley Greene,23,DET,AL,106,104,88,915.0,210,203,4,3,1,.986,-5,-6,14,18,6,2.04,1.95,OF,greenri03
180,Christopher Morel,25,TOT,MLB,106,104,60,846.2,272,84,175,13,15,.952,-9,-13,-6,-8,0,2.75,2.44,3B-2B-OF,morelch01
